total (occupation),geoid,top_occ,service,sales,nat_construction,production
2922,25021456302,1264,595,514,107,442
1533,25021456401,655,288,277,103,210
3080,25021456402,1361,499,737,234,249
2497,25021457100,693,565,664,234,341
2954,25021457200,2079,184,473,130,88
2257,25023500101,1052,315,640,121,129
1081,25023500103,509,178,273,62,59
2606,25023500104,1019,402,682,277,226
1685,25023501101,1118,109,318,91,49
4392,25023501102,2777,424,980,78,133
1847,25023501201,1086,179,444,60,78
2971,25023501202,1982,238,494,116,141
3594,25023502101,1239,794,665,525,371
3117,25023502102,1301,635,743,187,251
2953,25023502200,1328,557,676,298,94
3820,25023503101,1789,494,1122,164,251
3802,25023503102,1686,526,886,412,292
2816,25023504101,1514,262,711,171,158
2815,25023504102,1690,280,556,167,122
3706,25023505101,1955,423,955,164,209
2618,25023505102,1539,328,545,112,94
3716,25023505200,1802,700,871,217,126
3846,25023506101,2046,499,788,160,353
2930,25023506102,1359,358,545,378,290
1327,25023506202,627,272,278,87,63
2698,25023506203,1186,591,603,189,129
2593,25023506204,889,469,699,301,235
2551,25023507101,1351,360,575,117,148
1992,25023507103,1194,175,457,103,63
2652,25023507104,1536,307,614,88,107
3894,25023508101,1805,449,964,350,326
2982,25023508102,1012,535,636,466,333
3480,25023508200,1864,385,629,262,340
3942,25023509101,1889,690,891,286,186
3083,25023509102,1218,612,554,491,208
2367,25023510100,576,341,665,235,550
3545,25023510200,1170,552,1002,358,463
1931,25023510300,404,778,163,94,492
1828,25023510400,373,670,255,118,412
1536,25023510501,442,385,305,112,292
2533,25023510502,619,872,616,104,322
1877,25023510503,414,524,545,169,225
1623,25023510600,681,331,304,91,216
3200,25023510700,1134,910,501,444,211
3493,25023510800,632,1341,654,239,627
716,25023510900,182,240,57,80,157
1460,25023511000,447,472,336,28,177
2984,25023511100,849,759,632,359,385
2455,25023511200,637,537,490,244,547
2437,25023511301,491,698,601,196,451
1397,25023511302,523,252,334,131,157
1969,25023511400,320,620,428,149,452
2539,25023511500,371,760,590,159,659
3490,25023511600,851,979,507,310,843
2358,25023511701,808,396,621,197,336
1211,25023511702,546,161,285,34,185
3861,25023520100,1862,566,767,453,213
2480,25023520201,857,699,529,269,126
3239,25023520202,1373,410,880,309,267
2553,25023521101,985,477,496,255,340
1801,25023521102,590,271,482,179,279
1983,25023521201,691,307,436,230,319
2187,25023521202,899,425,443,141,279
2713,25023522101,1069,484,443,395,322
3467,25023522102,1471,438,877,354,327
1886,25023523100,603,314,408,359,202
1714,25023523201,556,370,373,208,207
3897,25023523202,1642,625,963,428,239
1577,25023524101,646,170,391,194,176
2106,25023524102,780,360,501,239,226
4081,25023525101,1668,776,1075,200,362
3541,25023525104,1824,457,882,215,163
2504,25023525203,977,478,524,169,356
2562,25023525204,970,526,581,199,286
8,25023525300,8,0,0,0,0
4413,25023526100,1696,662,948,544,563
1976,25023530100,692,331,532,225,196
2144,25023530200,628,807,370,131,208
2326,25023530300,818,654,561,183,110
3189,25023530400,1192,563,903,315,216
2630,25023530500,1043,662,530,190,205
3126,25023530600,1343,535,636,332,280
2700,25023530700,1513,401,563,137,86
3156,25023530801,1290,611,637,381,237
2569,25023530802,960,579,506,292,232
5036,25023530901,1680,990,1269,615,482
2395,25023530902,1029,270,585,281,230
2152,25023540101,867,315,549,177,244
1421,25023540102,558,165,433,112,153
2678,25023540103,1192,495,594,180,217
2883,25023541100,1395,398,493,353,244
4658,25023542101,1553,650,1208,695,552
1407,25023542102,510,290,308,114,185
3293,25023542200,1390,615,691,280,317
4057,25023542300,1503,957,608,373,616
1517,25023543100,608,241,337,181,150
3074,25023544100,1139,508,707,297,423
2815,25023544200,921,322,835,430,307
3764,25023545100,1145,728,827,534,530
3428,25023545200,791,889,886,412,450
2011,25023545300,727,415,460,98,311
2506,25023545400,904,415,687,116,384
3324,25023560100,1766,596,491,310,161
2282,25023561100,1100,276,565,175,166
1829,25023561200,382,421,804,101,121
0,25023990003,0,0,0,0,0
3603,25025000100,1919,796,568,167,153
2987,25025000201,1736,483,566,82,120
2557,25025000202,1370,362,513,97,215
2076,25025000301,1241,309,326,81,119
2244,25025000302,1345,304,302,122,171
3918,25025000401,2550,489,531,115,233
2427,25025000402,1656,302,418,22,29
3143,25025000502,1813,514,717,78,21
1544,25025000503,1179,79,226,25,35
3038,25025000504,2199,312,465,0,62
2819,25025000601,1624,429,465,142,159
2448,25025000602,1374,567,291,78,138
3369,25025000701,2042,586,518,71,152
1322,25025000703,652,259,313,5,93
3105,25025000704,2276,350,423,34,22
4283,25025000802,2127,975,892,98,191
1998,25025000803,791,376,773,0,58
1438,25025010103,719,219,477,2,21
2896,25025010104,1725,416,669,21,65
3327,25025010203,2327,410,494,9,87
1992,25025010204,1110,311,524,43,4
2484,25025010300,821,728,856,17,62
1454,25025010403,996,158,234,15,51
2074,25025010404,959,298,685,11,121
2646,25025010405,1118,544,862,17,105
1053,25025010408,795,59,139,30,30
1628,25025010500,1187,173,222,21,25
1937,25025010600,1493,113,303,0,28
