medianValue,geoid
470300.0,25025090100
484000.0,25025090200
453800.0,25025090300
368400.0,25025090400
372200.0,25025090600
500600.0,25025090700
,25025090901
475000.0,25025091001
457700.0,25025091100
488200.0,25025091200
463400.0,25025091300
389200.0,25025091400
554800.0,25025091500
368800.0,25025091600
449200.0,25025091700
397800.0,25025091800
382900.0,25025091900
439400.0,25025092000
517600.0,25025092101
582300.0,25025092200
422900.0,25025092300
479400.0,25025092400
319100.0,25025100100
357300.0,25025100200
421000.0,25025100300
397100.0,25025100400
388300.0,25025100500
425000.0,25025100601
548600.0,25025100603
484200.0,25025100700
484100.0,25025100800
454400.0,25025100900
402900.0,25025101001
344200.0,25025101002
412600.0,25025101101
436100.0,25025101102
574100.0,25025110103
394300.0,25025110201
421300.0,25025110301
420700.0,25025110401
475700.0,25025110403
497500.0,25025110501
453300.0,25025110502
593300.0,25025110601
542400.0,25025110607
841900.0,25025120103
503300.0,25025120104
853700.0,25025120105
473500.0,25025120201
483300.0,25025120301
625000.0,25025120400
554300.0,25025120500
537800.0,25025120600
478800.0,25025120700
479900.0,25025130100
588000.0,25025130200
605200.0,25025130300
463800.0,25025130402
424600.0,25025130404
466800.0,25025130406
388700.0,25025140102
407600.0,25025140105
498000.0,25025140106
393000.0,25025140107
421400.0,25025140201
407500.0,25025140202
417100.0,25025140300
369700.0,25025140400
293600.0,25025160101
355000.0,25025160200
380300.0,25025160300
369200.0,25025160400
353100.0,25025160501
360300.0,25025160502
290000.0,25025160601
384900.0,25025160602
350800.0,25025170100
418100.0,25025170200
398600.0,25025170300
419400.0,25025170400
317900.0,25025170501
384900.0,25025170502
399400.0,25025170601
337200.0,25025170701
303300.0,25025170702
360000.0,25025170800
380100.0,25025180101
416400.0,25025180200
561600.0,25025180301
461900.0,25025180400
417200.0,25025180500
,25025980101
,25025980300
,25025980700
,25025981000
397100.0,25025981100
,25025981201
,25025981202
461700.0,25025981300
,25025981501
,25025981502
,25025981600
,25025981700
678600.0,25025981800
,25025990101
