"GEO_ID","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Geographic Area Name"
"1400000US25017333400","2591","91","72","45","319","117","126","68","309","115","194","91","315","118","420","119","132","63","704","152","Census Tract 3334, Middlesex County, Massachusetts"
"1400000US25017333501","2046","59","23","27","12","19","145","76","296","78","149","85","285","93","469","120","98","53","569","143","Census Tract 3335.01, Middlesex County, Massachusetts"
"1400000US25017333502","1398","68","8","13","45","45","53","33","76","60","74","39","52","40","152","67","155","79","783","116","Census Tract 3335.02, Middlesex County, Massachusetts"
"1400000US25017333600","3143","115","383","111","105","72","355","140","417","136","379","118","283","104","416","96","136","88","669","165","Census Tract 3336, Middlesex County, Massachusetts"
"1400000US25017334100","2064","83","67","39","88","85","65","52","180","66","196","64","271","80","444","110","216","72","537","102","Census Tract 3341, Middlesex County, Massachusetts"
"1400000US25017334200","1680","54","12","20","22","30","21","23","54","33","103","67","106","68","272","104","32","29","1058","115","Census Tract 3342, Middlesex County, Massachusetts"
"1400000US25017334300","2650","91","11","18","93","48","291","77","401","117","288","95","282","95","626","127","217","87","441","115","Census Tract 3343, Middlesex County, Massachusetts"
"1400000US25017334400","2838","110","81","52","145","106","306","95","373","116","210","88","355","120","424","124","171","83","773","166","Census Tract 3344, Middlesex County, Massachusetts"
"1400000US25017335100","2654","129","2","10","0","127","10","17","53","50","180","59","107","62","560","137","371","118","1371","196","Census Tract 3351, Middlesex County, Massachusetts"
"1400000US25017335200","2348","96","58","37","44","44","25","27","88","46","198","79","109","67","382","113","345","118","1099","161","Census Tract 3352, Middlesex County, Massachusetts"
"1400000US25017335301","1795","107","23","35","167","108","86","58","152","97","86","65","192","69","204","97","260","82","625","156","Census Tract 3353.01, Middlesex County, Massachusetts"
"1400000US25017335302","1939","98","17","26","73","59","222","108","194","79","233","90","209","121","374","149","106","68","511","156","Census Tract 3353.02, Middlesex County, Massachusetts"
"1400000US25017335400","1961","74","9","15","68","47","119","54","73","42","125","56","187","65","325","93","265","86","790","137","Census Tract 3354, Middlesex County, Massachusetts"
"1400000US25017336100","2409","86","0","127","25","28","73","50","204","94","270","97","74","44","147","67","97","59","1519","143","Census Tract 3361, Middlesex County, Massachusetts"
"1400000US25017336200","2183","102","9","15","0","127","10","16","116","65","12","26","158","71","361","108","163","77","1354","153","Census Tract 3362, Middlesex County, Massachusetts"
"1400000US25017336300","2489","97","31","36","12","19","123","85","13","20","91","73","140","107","414","112","167","90","1498","198","Census Tract 3363, Middlesex County, Massachusetts"
"1400000US25017336401","1997","74","158","52","12","21","22","24","177","104","246","113","366","101","135","63","116","58","765","137","Census Tract 3364.01, Middlesex County, Massachusetts"
"1400000US25017336402","2103","75","21","33","63","73","0","127","66","55","287","112","246","106","89","58","149","68","1182","163","Census Tract 3364.02, Middlesex County, Massachusetts"
"1400000US25017337101","1308","47","12","20","38","59","133","72","167","65","170","56","149","64","288","92","96","58","255","79","Census Tract 3371.01, Middlesex County, Massachusetts"
"1400000US25017337102","2072","75","39","56","34","35","122","56","338","103","263","96","235","100","256","106","114","87","671","134","Census Tract 3371.02, Middlesex County, Massachusetts"
"1400000US25017337201","1538","50","41","47","8","14","0","127","168","58","133","66","293","102","459","112","51","33","385","96","Census Tract 3372.01, Middlesex County, Massachusetts"
"1400000US25017337202","2121","97","0","127","12","18","136","69","439","109","207","92","452","123","538","131","113","60","224","84","Census Tract 3372.02, Middlesex County, Massachusetts"
"1400000US25017337300","2399","102","65","51","29","35","181","114","160","66","263","87","203","103","161","85","147","70","1190","165","Census Tract 3373, Middlesex County, Massachusetts"
"1400000US25017338100","1082","40","0","127","45","56","55","34","5","13","46","32","95","38","178","60","153","68","505","84","Census Tract 3381, Middlesex County, Massachusetts"
"1400000US25017338200","1570","47","36","29","123","55","59","40","85","53","166","67","403","110","65","36","49","34","584","100","Census Tract 3382, Middlesex County, Massachusetts"
"1400000US25017338300","1272","59","0","127","0","127","123","53","78","45","53","48","17","19","173","76","53","34","775","113","Census Tract 3383, Middlesex County, Massachusetts"
"1400000US25017338400","2045","61","16","25","12","21","174","83","303","101","178","73","371","107","365","121","216","86","410","108","Census Tract 3384, Middlesex County, Massachusetts"
"1400000US25017338500","2029","55","11","19","0","127","47","42","134","98","40","36","180","86","358","101","161","79","1098","130","Census Tract 3385, Middlesex County, Massachusetts"
"1400000US25017339100","3080","105","0","127","47","64","28","34","255","106","384","104","216","102","313","124","226","94","1611","203","Census Tract 3391, Middlesex County, Massachusetts"
"1400000US25017339200","2318","67","0","127","0","127","43","69","94","70","20","27","53","46","363","122","391","117","1354","159","Census Tract 3392, Middlesex County, Massachusetts"
"1400000US25017339300","1354","78","19","31","22","26","17","22","238","82","56","40","16","19","49","36","51","41","886","125","Census Tract 3393, Middlesex County, Massachusetts"
"1400000US25017339400","1561","78","0","127","9","20","0","127","31","34","55","47","199","95","92","53","32","27","1143","125","Census Tract 3394, Middlesex County, Massachusetts"
"1400000US25017339500","1727","66","0","127","39","24","0","127","40","32","47","52","33","26","117","65","78","50","1373","114","Census Tract 3395, Middlesex County, Massachusetts"
"1400000US25017339600","2276","75","0","127","69","79","85","57","52","44","128","77","132","71","63","48","191","88","1556","153","Census Tract 3396, Middlesex County, Massachusetts"
"1400000US25017339700","1709","65","0","127","7","12","17","21","45","42","42","64","159","89","162","75","135","64","1142","118","Census Tract 3397, Middlesex County, Massachusetts"
"1400000US25017339801","1890","117","429","130","153","98","40","38","350","95","52","40","14","22","58","37","84","55","710","167","Census Tract 3398.01, Middlesex County, Massachusetts"
"1400000US25017339802","1994","59","12","19","190","104","56","49","396","114","220","99","64","73","172","84","93","57","791","151","Census Tract 3398.02, Middlesex County, Massachusetts"
"1400000US25017339900","2267","58","21","30","0","127","0","127","35","28","206","112","123","74","34","38","70","54","1778","132","Census Tract 3399, Middlesex County, Massachusetts"
"1400000US25017340000","1173","34","0","127","0","127","43","52","101","52","63","62","10","15","40","47","83","42","833","105","Census Tract 3400, Middlesex County, Massachusetts"
"1400000US25017340100","2579","74","34","47","25","38","18","29","190","71","118","59","230","107","394","145","317","132","1253","216","Census Tract 3401, Middlesex County, Massachusetts"
"1400000US25017341101","1415","77","18","39","41","49","5","11","77","59","31","43","123","79","31","40","74","68","1015","158","Census Tract 3411.01, Middlesex County, Massachusetts"
"1400000US25017341102","2422","91","22","34","0","127","245","114","305","85","295","105","274","119","147","77","16","26","1118","188","Census Tract 3411.02, Middlesex County, Massachusetts"
"1400000US25017341200","2786","113","9","16","59","55","84","31","271","120","235","111","288","154","82","57","119","69","1639","238","Census Tract 3412, Middlesex County, Massachusetts"
"1400000US25017341300","2538","110","250","88","65","67","159","94","437","131","621","163","245","140","43","40","20","24","698","140","Census Tract 3413, Middlesex County, Massachusetts"
"1400000US25017341400","2469","83","0","127","0","127","18","27","65","72","50","44","91","79","138","87","341","118","1766","203","Census Tract 3414, Middlesex County, Massachusetts"
"1400000US25017341500","1833","60","49","30","94","49","12","18","35","40","74","59","73","44","101","53","30","27","1365","117","Census Tract 3415, Middlesex County, Massachusetts"
"1400000US25017341600","2785","110","38","60","14","22","133","98","203","112","345","169","185","106","240","117","111","105","1516","241","Census Tract 3416, Middlesex County, Massachusetts"
"1400000US25017341700","2235","68","46","43","26","41","110","85","50","47","83","86","166","109","235","101","121","66","1398","192","Census Tract 3417, Middlesex County, Massachusetts"
"1400000US25017341800","2697","96","17","27","125","93","57","64","81","70","365","136","362","126","259","137","142","72","1289","184","Census Tract 3418, Middlesex County, Massachusetts"
"1400000US25017341901","532","18","9","18","0","127","10","21","30","47","35","37","54","49","44","44","44","49","306","87","Census Tract 3419.01, Middlesex County, Massachusetts"
