"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25021456102","4875","453","3505","414","0","127","44","46","563","197","763","367","Census Tract 4561.02, Norfolk County, Massachusetts"
"1400000US25021456200","3485","725","3006","755","24","37","15","23","298","116","142","97","Census Tract 4562, Norfolk County, Massachusetts"
"1400000US25021456301","1732","387","1202","275","0","127","0","127","256","206","274","282","Census Tract 4563.01, Norfolk County, Massachusetts"
"1400000US25021456302","4881","360","4087","432","0","127","84","74","474","181","236","121","Census Tract 4563.02, Norfolk County, Massachusetts"
"1400000US25021456401","2863","237","2388","262","0","127","0","127","407","142","68","47","Census Tract 4564.01, Norfolk County, Massachusetts"
"1400000US25021456402","5289","274","4719","255","0","127","23","26","450","137","97","48","Census Tract 4564.02, Norfolk County, Massachusetts"
"1400000US25021457100","4335","21","3903","174","29","31","0","127","282","139","121","76","Census Tract 4571, Norfolk County, Massachusetts"
"1400000US25021457200","5796","265","4901","336","0","127","37","37","463","142","395","223","Census Tract 4572, Norfolk County, Massachusetts"
"1400000US25023500101","3787","248","3581","269","26","39","9","14","108","75","63","65","Census Tract 5001.01, Plymouth County, Massachusetts"
"1400000US25023500103","2316","196","2223","209","0","127","0","127","71","82","22","27","Census Tract 5001.03, Plymouth County, Massachusetts"
"1400000US25023500104","4317","260","3977","276","41","64","62","53","152","78","85","69","Census Tract 5001.04, Plymouth County, Massachusetts"
"1400000US25023501101","3415","241","3276","252","0","127","0","127","60","60","79","51","Census Tract 5011.01, Plymouth County, Massachusetts"
"1400000US25023501102","7740","386","7387","374","0","127","77","54","151","102","125","73","Census Tract 5011.02, Plymouth County, Massachusetts"
