"GEO_ID","B25077_001E","B25077_001M","NAME"
"id","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Geographic Area Name"
"1400000US25017337101","419000","26146","Census Tract 3371.01, Middlesex County, Massachusetts"
"1400000US25017337102","435900","15058","Census Tract 3371.02, Middlesex County, Massachusetts"
"1400000US25017337201","385800","21707","Census Tract 3372.01, Middlesex County, Massachusetts"
"1400000US25017337202","415100","19442","Census Tract 3372.02, Middlesex County, Massachusetts"
"1400000US25017337300","408800","26968","Census Tract 3373, Middlesex County, Massachusetts"
"1400000US25017338100","617000","26353","Census Tract 3381, Middlesex County, Massachusetts"
"1400000US25017338200","450900","27036","Census Tract 3382, Middlesex County, Massachusetts"
"1400000US25017338300","817100","117562","Census Tract 3383, Middlesex County, Massachusetts"
"1400000US25017338400","792300","59851","Census Tract 3384, Middlesex County, Massachusetts"
"1400000US25017338500","730100","53493","Census Tract 3385, Middlesex County, Massachusetts"
"1400000US25017339100","438000","16234","Census Tract 3391, Middlesex County, Massachusetts"
"1400000US25017339200","447700","14454","Census Tract 3392, Middlesex County, Massachusetts"
"1400000US25017339300","408500","40079","Census Tract 3393, Middlesex County, Massachusetts"
"1400000US25017339400","405400","32042","Census Tract 3394, Middlesex County, Massachusetts"
"1400000US25017339500","371900","16333","Census Tract 3395, Middlesex County, Massachusetts"
"1400000US25017339600","403200","35382","Census Tract 3396, Middlesex County, Massachusetts"
"1400000US25017339700","415800","30792","Census Tract 3397, Middlesex County, Massachusetts"
"1400000US25017339801","371300","23665","Census Tract 3398.01, Middlesex County, Massachusetts"
"1400000US25017339802","423100","21455","Census Tract 3398.02, Middlesex County, Massachusetts"
"1400000US25017339900","380700","26052","Census Tract 3399, Middlesex County, Massachusetts"
"1400000US25017340000","356300","48287","Census Tract 3400, Middlesex County, Massachusetts"
"1400000US25017340100","360500","11175","Census Tract 3401, Middlesex County, Massachusetts"
"1400000US25017341101","383900","41935","Census Tract 3411.01, Middlesex County, Massachusetts"
"1400000US25017341102","421700","65808","Census Tract 3411.02, Middlesex County, Massachusetts"
"1400000US25017341200","341500","28562","Census Tract 3412, Middlesex County, Massachusetts"
"1400000US25017341300","344700","59729","Census Tract 3413, Middlesex County, Massachusetts"
"1400000US25017341400","375600","38203","Census Tract 3414, Middlesex County, Massachusetts"
"1400000US25017341500","315400","30184","Census Tract 3415, Middlesex County, Massachusetts"
"1400000US25017341600","336300","13960","Census Tract 3416, Middlesex County, Massachusetts"
"1400000US25017341700","355100","8851","Census Tract 3417, Middlesex County, Massachusetts"
"1400000US25017341800","311500","27828","Census Tract 3418, Middlesex County, Massachusetts"
"1400000US25017341901","324500","36569","Census Tract 3419.01, Middlesex County, Massachusetts"
"1400000US25017341902","347500","15940","Census Tract 3419.02, Middlesex County, Massachusetts"
"1400000US25017342101","359300","24402","Census Tract 3421.01, Middlesex County, Massachusetts"
"1400000US25017342102","330000","28101","Census Tract 3421.02, Middlesex County, Massachusetts"
"1400000US25017342201","343600","20760","Census Tract 3422.01, Middlesex County, Massachusetts"
"1400000US25017342202","364400","16678","Census Tract 3422.02, Middlesex County, Massachusetts"
"1400000US25017342300","362400","20066","Census Tract 3423, Middlesex County, Massachusetts"
"1400000US25017342400","328700","35252","Census Tract 3424, Middlesex County, Massachusetts"
"1400000US25017342500","369600","29024","Census Tract 3425, Middlesex County, Massachusetts"
"1400000US25017342600","382900","29724","Census Tract 3426, Middlesex County, Massachusetts"
"1400000US25017350103","464900","34526","Census Tract 3501.03, Middlesex County, Massachusetts"
"1400000US25017350104","353200","43261","Census Tract 3501.04, Middlesex County, Massachusetts"
"1400000US25017350200","366300","28406","Census Tract 3502, Middlesex County, Massachusetts"
"1400000US25017350300","363800","34269","Census Tract 3503, Middlesex County, Massachusetts"
"1400000US25017350400","520700","57758","Census Tract 3504, Middlesex County, Massachusetts"
"1400000US25017350500","606900","33531","Census Tract 3505, Middlesex County, Massachusetts"
"1400000US25017350600","591200","37269","Census Tract 3506, Middlesex County, Massachusetts"
"1400000US25017350700","519700","52242","Census Tract 3507, Middlesex County, Massachusetts"
"1400000US25017350800","513500","75882","Census Tract 3508, Middlesex County, Massachusetts"
"1400000US25017350900","574100","52398","Census Tract 3509, Middlesex County, Massachusetts"
"1400000US25017351000","448300","25602","Census Tract 3510, Middlesex County, Massachusetts"
"1400000US25017351100","470300","40462","Census Tract 3511, Middlesex County, Massachusetts"
"1400000US25017351203","501000","59840","Census Tract 3512.03, Middlesex County, Massachusetts"
"1400000US25017351204","417900","66284","Census Tract 3512.04, Middlesex County, Massachusetts"
"1400000US25017351300","498800","57584","Census Tract 3513, Middlesex County, Massachusetts"
"1400000US25017351403","436600","43203","Census Tract 3514.03, Middlesex County, Massachusetts"
"1400000US25017351404","389500","66699","Census Tract 3514.04, Middlesex County, Massachusetts"
"1400000US25017351500","434900","42624","Census Tract 3515, Middlesex County, Massachusetts"
"1400000US25017352101","530200","102579","Census Tract 3521.01, Middlesex County, Massachusetts"
"1400000US25017352102","641000","80873","Census Tract 3521.02, Middlesex County, Massachusetts"
"1400000US25017352200","365100","54632","Census Tract 3522, Middlesex County, Massachusetts"
"1400000US25017352300","389000","71396","Census Tract 3523, Middlesex County, Massachusetts"
"1400000US25017352400","385700","181384","Census Tract 3524, Middlesex County, Massachusetts"
"1400000US25017352500","473900","75052","Census Tract 3525, Middlesex County, Massachusetts"
"1400000US25017352600","412000","89308","Census Tract 3526, Middlesex County, Massachusetts"
"1400000US25017352700","562500","120602","Census Tract 3527, Middlesex County, Massachusetts"
