"GEO_ID","B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Geographic Area Name"
"1400000US25021420201","39.0","1.4","39.7","2.4","38.0","2.0","Census Tract 4202.01, Norfolk County, Massachusetts"
"1400000US25021420202","38.1","1.7","40.3","2.0","36.2","2.6","Census Tract 4202.02, Norfolk County, Massachusetts"
"1400000US25021420301","38.2","1.5","40.5","1.5","35.9","2.6","Census Tract 4203.01, Norfolk County, Massachusetts"
"1400000US25021420302","37.0","1.3","40.6","2.0","33.9","1.8","Census Tract 4203.02, Norfolk County, Massachusetts"
"1400000US25021421100","37.5","2.3","41.1","3.4","33.5","2.4","Census Tract 4211, Norfolk County, Massachusetts"
"1400000US25021421200","38.2","1.4","40.1","1.7","35.9","1.8","Census Tract 4212, Norfolk County, Massachusetts"
"1400000US25021422100","39.4","1.1","43.2","2.1","35.4","1.7","Census Tract 4221, Norfolk County, Massachusetts"
"1400000US25021422200","37.0","1.3","39.5","1.8","34.2","1.9","Census Tract 4222, Norfolk County, Massachusetts"
"1400000US25021422301","37.8","2.1","41.2","2.8","33.7","2.7","Census Tract 4223.01, Norfolk County, Massachusetts"
"1400000US25021422302","38.8","1.6","40.1","1.9","37.5","1.8","Census Tract 4223.02, Norfolk County, Massachusetts"
"1400000US25021422400","39.4","1.3","41.9","2.0","36.9","1.8","Census Tract 4224, Norfolk County, Massachusetts"
"1400000US25021422501","37.5","1.7","41.5","2.3","34.0","2.0","Census Tract 4225.01, Norfolk County, Massachusetts"
"1400000US25021422502","38.7","1.6","43.6","3.2","34.1","1.9","Census Tract 4225.02, Norfolk County, Massachusetts"
"1400000US25021422600","37.8","1.2","41.6","1.6","34.2","2.1","Census Tract 4226, Norfolk County, Massachusetts"
"1400000US25021422700","38.8","1.4","43.5","1.7","35.2","2.0","Census Tract 4227, Norfolk County, Massachusetts"
"1400000US25021422800","38.2","2.0","40.5","3.7","35.8","2.3","Census Tract 4228, Norfolk County, Massachusetts"
"1400000US25021423100","40.0","1.9","46.2","2.5","31.2","2.6","Census Tract 4231, Norfolk County, Massachusetts"
"1400000US25021440100","39.8","1.3","44.5","1.9","36.3","1.7","Census Tract 4401, Norfolk County, Massachusetts"
"1400000US25021441202","39.5","1.6","45.1","1.8","33.8","2.8","Census Tract 4412.02, Norfolk County, Massachusetts"
"1400000US25021441203","37.0","1.4","40.4","1.9","33.3","2.2","Census Tract 4412.03, Norfolk County, Massachusetts"
"1400000US25021441204","36.3","1.6","42.4","2.6","30.6","2.0","Census Tract 4412.04, Norfolk County, Massachusetts"
"1400000US25021442101","35.2","2.7","36.8","3.4","33.4","3.2","Census Tract 4421.01, Norfolk County, Massachusetts"
"1400000US25021442102","36.8","1.2","40.6","1.5","32.4","1.8","Census Tract 4421.02, Norfolk County, Massachusetts"
"1400000US25021442103","38.7","1.4","43.3","1.8","33.9","1.9","Census Tract 4421.03, Norfolk County, Massachusetts"
