"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2935","303","2245","295","222","231","7","13","287","191","0","12","0","12","174","101","0","12","174","101","1400000US25017354500","Census Tract 3545, Middlesex County, Massachusetts"
"6133","521","3752","520","1037","327","0","17","955","408","0","17","80","128","309","183","0","17","309","183","1400000US25017354600","Census Tract 3546, Middlesex County, Massachusetts"
"2854","296","2109","227","158","86","0","12","529","270","0","12","9","13","49","41","10","15","39","37","1400000US25017354700","Census Tract 3547, Middlesex County, Massachusetts"
"2506","164","1940","164","113","100","3","6","353","142","0","12","33","33","64","32","6","9","58","30","1400000US25017354800","Census Tract 3548, Middlesex County, Massachusetts"
"8069","593","4099","589","2325","497","0","17","1553","340","0","17","46","72","46","65","0","17","46","65","1400000US25017354900","Census Tract 3549, Middlesex County, Massachusetts"
"3121","217","1947","267","438","144","6","9","587","233","0","12","42","51","101","69","0","12","101","69","1400000US25017355000","Census Tract 3550, Middlesex County, Massachusetts"
"3262","236","2758","277","0","12","0","12","304","152","0","12","37","53","163","75","23","35","140","65","1400000US25017356100","Census Tract 3561, Middlesex County, Massachusetts"
"5355","302","3986","342","137","135","27","43","1029","293","0","17","59","56","117","81","0","17","117","81","1400000US25017356300","Census Tract 3563, Middlesex County, Massachusetts"
"7791","382","6237","536","223","242","0","17","931","267","0","17","108","146","292","157","0","17","292","157","1400000US25017356400","Census Tract 3564, Middlesex County, Massachusetts"
"7321","419","5697","504","352","278","0","17","798","230","0","17","69","76","405","210","0","17","405","210","1400000US25017356500","Census Tract 3565, Middlesex County, Massachusetts"
"4610","332","3693","275","133","107","0","12","538","151","0","12","85","70","161","100","35","36","126","93","1400000US25017356601","Census Tract 3566.01, Middlesex County, Massachusetts"
"4270","245","3597","246","91","54","0","12","383","125","0","12","38","59","161","90","0","12","161","90","1400000US25017356602","Census Tract 3566.02, Middlesex County, Massachusetts"
"5634","473","4425","438","203","159","18","28","842","485","0","17","47","42","99","84","0","17","99","84","1400000US25017356701","Census Tract 3567.01, Middlesex County, Massachusetts"
"7061","413","5697","411","264","268","0","17","742","261","0","17","41","44","317","193","0","17","317","193","1400000US25017356702","Census Tract 3567.02, Middlesex County, Massachusetts"
"4442","261","3244","236","0","12","0","12","1065","202","0","12","0","12","133","91","0","12","133","91","1400000US25017357100","Census Tract 3571, Middlesex County, Massachusetts"
"3275","244","2682","229","30","35","7","11","508","114","0","12","0","12","48","40","8","14","40","36","1400000US25017357200","Census Tract 3572, Middlesex County, Massachusetts"
