"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1571","112","90","82","173","78","102","71","10","15","34","29","56","42","38","30","98","93","279","124","691","152","1400000US25025061000","Census Tract 610, Suffolk County, Massachusetts"
"1180","32","0","12","0","12","14","16","9","15","12","13","36","26","84","49","86","47","120","57","819","90","1400000US25025061101","Census Tract 611.01, Suffolk County, Massachusetts"
"2725","114","173","89","301","129","717","164","29","32","152","101","175","77","12","19","139","92","38","40","989","208","1400000US25025061200","Census Tract 612, Suffolk County, Massachusetts"
"4661","249","951","206","485","175","1133","245","301","142","167","101","214","111","231","103","74","74","145","132","960","191","1400000US25025070101","Census Tract 701.01, Suffolk County, Massachusetts"
"2065","112","224","82","90","54","391","106","218","101","136","75","428","103","209","101","102","65","13","21","254","101","1400000US25025070200","Census Tract 702, Suffolk County, Massachusetts"
"2863","141","0","12","0","12","386","138","80","55","206","112","121","97","36","36","61","49","57","52","1916","239","1400000US25025070300","Census Tract 703, Suffolk County, Massachusetts"
"1571","44","694","71","47","34","94","46","59","38","101","45","104","48","292","69","128","49","19","17","33","23","1400000US25025070402","Census Tract 704.02, Suffolk County, Massachusetts"
"3153","145","0","17","113","139","272","106","114","80","173","90","94","64","368","179","96","63","150","101","1773","268","1400000US25025070500","Census Tract 705, Suffolk County, Massachusetts"
"1230","93","0","12","0","12","7","12","0","12","24","24","15","18","11","14","29","29","61","48","1083","99","1400000US25025070600","Census Tract 706, Suffolk County, Massachusetts"
"1476","61","25","29","7","11","73","58","0","12","208","105","185","86","64","53","45","55","18","21","851","123","1400000US25025070700","Census Tract 707, Suffolk County, Massachusetts"
"2201","120","0","12","8","19","85","72","16","26","21","26","121","89","84","63","146","130","10","17","1710","196","1400000US25025070800","Census Tract 708, Suffolk County, Massachusetts"
"1761","92","0","12","0","12","63","35","55","63","69","51","102","61","101","64","43","35","22","22","1306","154","1400000US25025070900","Census Tract 709, Suffolk County, Massachusetts"
"2352","94","41","48","81","60","393","147","223","109","44","36","173","119","56","57","10","17","50","38","1281","155","1400000US25025071101","Census Tract 711.01, Suffolk County, Massachusetts"
"1689","61","89","67","10","15","421","94","170","63","84","63","74","57","51","35","129","104","99","69","562","131","1400000US25025071201","Census Tract 712.01, Suffolk County, Massachusetts"
"822","40","0","12","61","33","73","42","69","35","0","12","9","15","10","16","0","12","79","39","521","76","1400000US25025080100","Census Tract 801, Suffolk County, Massachusetts"
"933","65","71","57","62","57","75","45","177","90","73","62","33","32","27","32","0","12","85","62","330","93","1400000US25025080300","Census Tract 803, Suffolk County, Massachusetts"
"1500","51","0","12","24","25","188","91","171","76","177","76","206","84","224","96","42","51","85","76","383","103","1400000US25025080401","Census Tract 804.01, Suffolk County, Massachusetts"
"1456","51","0","12","0","12","122","66","180","86","170","83","298","99","27","31","58","50","311","108","290","103","1400000US25025080500","Census Tract 805, Suffolk County, Massachusetts"
"1000","40","0","12","31","26","146","51","63","44","180","67","76","49","116","55","59","34","77","41","252","77","1400000US25025080601","Census Tract 806.01, Suffolk County, Massachusetts"
"1083","45","101","74","0","12","160","83","333","87","106","66","63","47","58","46","156","69","0","12","106","51","1400000US25025080801","Census Tract 808.01, Suffolk County, Massachusetts"
"1581","85","129","66","0","12","38","33","79","39","13","16","264","104","549","121","65","51","94","61","350","107","1400000US25025080900","Census Tract 809, Suffolk County, Massachusetts"
"2365","117","120","95","14","26","98","81","211","123","198","115","555","174","189","70","183","118","45","43","752","198","1400000US25025081001","Census Tract 810.01, Suffolk County, Massachusetts"
"1964","75","117","45","0","12","146","78","70","55","279","111","195","90","173","108","130","73","4","7","850","183","1400000US25025081100","Census Tract 811, Suffolk County, Massachusetts"
"1438","74","10","14","132","78","56","46","102","67","56","43","186","93","43","36","191","96","136","74","526","105","1400000US25025081200","Census Tract 812, Suffolk County, Massachusetts"
"2439","106","43","61","86","72","357","189","123","123","174","120","554","279","183","167","223","141","40","66","656","196","1400000US25025081300","Census Tract 813, Suffolk County, Massachusetts"
"1440","86","28","37","0","12","143","73","8","9","169","72","151","72","34","28","52","47","70","48","785","138","1400000US25025081400","Census Tract 814, Suffolk County, Massachusetts"
"1021","52","27","33","0","12","242","73","23","25","16","21","25","26","37","32","51","39","64","53","536","80","1400000US25025081500","Census Tract 815, Suffolk County, Massachusetts"
"1801","73","0","12","9","15","36","34","88","72","111","81","85","55","284","93","159","76","260","108","769","150","1400000US25025081700","Census Tract 817, Suffolk County, Massachusetts"
"1521","77","23","36","16","27","127","89","10","15","45","50","80","55","55","45","21","23","135","101","1009","157","1400000US25025081800","Census Tract 818, Suffolk County, Massachusetts"
"1581","62","0","12","33","52","55","59","65","51","250","107","152","94","235","78","17","26","52","61","722","151","1400000US25025081900","Census Tract 819, Suffolk County, Massachusetts"
"1405","45","0","12","80","66","28","33","0","12","24","25","28","36","175","84","184","104","57","55","829","147","1400000US25025082000","Census Tract 820, Suffolk County, Massachusetts"
"2391","69","0","17","0","17","98","96","72","64","241","136","141","126","266","155","274","192","153","139","1146","258","1400000US25025082100","Census Tract 821, Suffolk County, Massachusetts"
"2095","69","0","17","123","57","73","63","141","81","80","52","23","24","78","48","114","71","158","76","1305","150","1400000US25025090100","Census Tract 901, Suffolk County, Massachusetts"
"897","38","0","12","0","12","98","43","50","31","79","46","64","35","27","24","102","54","45","34","432","89","1400000US25025090200","Census Tract 902, Suffolk County, Massachusetts"
"1340","71","57","51","37","42","0","12","89","64","0","12","143","82","25","29","11","19","31","41","947","128","1400000US25025090300","Census Tract 903, Suffolk County, Massachusetts"
"1490","63","13","22","0","12","45","48","161","95","24","34","115","90","36","45","86","65","38","52","972","167","1400000US25025090400","Census Tract 904, Suffolk County, Massachusetts"
"899","34","0","12","0","12","49","27","182","65","33","28","46","30","0","12","0","12","152","58","437","80","1400000US25025090600","Census Tract 906, Suffolk County, Massachusetts"
"2024","85","29","35","77","43","57","46","0","12","50","55","152","82","82","44","145","71","92","59","1340","139","1400000US25025090700","Census Tract 907, Suffolk County, Massachusetts"
"1661","87","22","24","40","30","246","71","273","78","720","132","126","64","59","36","46","29","42","39","87","53","1400000US25025090901","Census Tract 909.01, Suffolk County, Massachusetts"
"1577","51","93","48","18","17","62","63","0","12","71","52","112","82","191","79","171","111","34","29","825","156","1400000US25025091001","Census Tract 910.01, Suffolk County, Massachusetts"
"2017","73","0","12","10","17","50","26","18","24","17","20","89","56","88","45","184","74","62","44","1499","128","1400000US25025091100","Census Tract 911, Suffolk County, Massachusetts"
