"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"38.4","1.8","44.1","2.0","33.0","2.7","1400000US25009268200","Census Tract 2682, Essex County, Massachusetts"
"39.7","1.9","43.1","1.9","36.8","3.1","1400000US25009268300","Census Tract 2683, Essex County, Massachusetts"
"37.8","1.8","38.4","2.8","37.1","2.7","1400000US25009268400","Census Tract 2684, Essex County, Massachusetts"
"38.7","1.6","43.4","2.3","34.1","2.4","1400000US25009269100","Census Tract 2691, Essex County, Massachusetts"
"37.3","1.5","40.9","1.9","33.5","2.4","1400000US25009270100","Census Tract 2701, Essex County, Massachusetts"
"-","**","-","**","-","**","1400000US25009990100","Census Tract 9901, Essex County, Massachusetts"
"40.3","1.6","44.3","1.8","35.8","2.2","1400000US25017300100","Census Tract 3001, Middlesex County, Massachusetts"
"40.5","1.3","43.0","1.9","37.7","1.4","1400000US25017301101","Census Tract 3011.01, Middlesex County, Massachusetts"
"38.4","1.3","41.9","1.5","34.7","1.9","1400000US25017301102","Census Tract 3011.02, Middlesex County, Massachusetts"
"36.5","1.4","38.8","2.0","33.9","2.1","1400000US25017310100","Census Tract 3101, Middlesex County, Massachusetts"
"37.5","1.7","39.0","2.3","35.5","2.7","1400000US25017310200","Census Tract 3102, Middlesex County, Massachusetts"
"37.6","1.8","38.9","2.6","35.7","2.0","1400000US25017310300","Census Tract 3103, Middlesex County, Massachusetts"
"37.7","1.5","38.7","2.5","36.7","1.3","1400000US25017310400","Census Tract 3104, Middlesex County, Massachusetts"
"33.0","1.7","34.5","2.3","30.7","3.4","1400000US25017310500","Census Tract 3105, Middlesex County, Massachusetts"
"36.8","1.2","38.8","2.2","35.5","1.9","1400000US25017310601","Census Tract 3106.01, Middlesex County, Massachusetts"
"37.4","1.7","38.3","2.3","36.1","3.2","1400000US25017310602","Census Tract 3106.02, Middlesex County, Massachusetts"
"34.8","2.1","36.6","3.5","32.9","2.1","1400000US25017310700","Census Tract 3107, Middlesex County, Massachusetts"
"39.3","1.3","40.3","2.0","38.3","1.4","1400000US25017311100","Census Tract 3111, Middlesex County, Massachusetts"
"38.5","2.0","40.0","2.4","36.7","2.2","1400000US25017311200","Census Tract 3112, Middlesex County, Massachusetts"
"37.8","1.3","38.9","1.8","36.9","2.1","1400000US25017311300","Census Tract 3113, Middlesex County, Massachusetts"
"38.2","1.4","40.1","2.1","35.6","1.7","1400000US25017311400","Census Tract 3114, Middlesex County, Massachusetts"
"37.1","1.5","37.5","1.8","36.7","2.2","1400000US25017311500","Census Tract 3115, Middlesex County, Massachusetts"
